Call;QRG;Input;Locator;Info;Breite;Länge;CTCSS;Mode/Node;Entfernung zu JN49hf
DB0HD;438,350;430,75000;JN49IK;Heidelberg;49°25'N;08°42'E;;W-x#C4;22.17km
DB0MAD;438,475;430,8750;JN49GK;Mannheim, JN49GK / Mannheim, JN49GK (i);49°25'N;08°31'E;;B;23.31km
DB0UK;145,675;145,07500;JN49EA;Karlsruhe;49°00'N;08°22'E;94,8Hz;W-x#C4;30.62km
DB0WIM;439,56250;431,96250;JN49CD;Herxheim;49°08'N;08°12'E;67,0Hz;W-x#C4;31.65km
DG7FBT;144,825;;JN49HN;Weinheim, Digital;49°32'N;08°38'E;;W-x#76582;34.92km
DB0NW;438,96250;431,36250;JN49BH;Neustadt / W.;49°19'N;08°06'E;;W-x#C4;38.46km
DB0DJ;1298,575;1270,5750;JN48GV;Karlsbad / Karlsbad (i);48°52'N;08°30'E;;A;40.02km
DB0DJ;439,500;431,9000;JN48GV;Karlsbad / Karlsbad (i);48°52'N;08°30'E;;B;40.02km
DB0DJ;145,7625;145,1625;JN48GV;Karlsbad / Karlsbad (i);48°52'N;08°30'E;;C;40.02km
DB0DOB;438,9375;431,33750;JN49AM;Wattenheim;49°31'N;08°04'E;123,0Hz;W-x#C4;52.00km
DB0WUS;438,4625;430,8625.;JN49PA;Grossbottwar Ludwigsburg GER, Digital;49°01'N;09°16'E;;W-x#78649;52.45km
DB0FTC;439,4875;431,8875;JN49BO;Quirnheim, JN49BO / Quirnheim, JN49BO (i);49°35'N;08°09'E;;B;53.08km
DB0IOD;439,23750;431,63750;JN49IR;Lautertal;49°43'N;08°41'E;;W-x#C4;54.81km
