Call;QRG;Input;Locator;Info;Breite;Länge;CTCSS;Mode/Node;Entfernung zu JN49hf
DM0FG;439,3625;431,7625;JN49IH;Wiesloch;49°18'N;08°42'E;;;10.67km
DB0RB;438,675;431,075;JN49HC;Bruchsal;49°06'N;08°35'E;;;14.48km
DB0NP;439,150;431,550;JN49KF;SINSHEIM/KRAICHGAU;49°13'N;08°52'E;;;18.14km
DB0ZH;145,625;145,025;JN49IJ;HEIDELBERG;49°24'N;08°43'E;;;20.75km
DB0HD;438,350;430,75000;JN49IK;Heidelberg;49°25'N;08°42'E;;W-x#C4;22.17km
DB0MA;439,025;431,425;JN49FL;Mannheim;49°28'N;08°28'E;;;28.71km
DB0UK;145,675;145,07500;JN49EA;Karlsruhe;49°00'N;08°22'E;94,8Hz;W-x#C4;30.62km
DB0UK;145,675;145,075;JN49EA;KARLSRUHE;49°00'N;08°22'E;94,8Hz;;30.63km
DB0UX;438,950;431,35;JN48FX;DURLACH;48°58'N;08°28'E;;;30.84km
DB0WIM;439,56250;431,96250;JN49CD;Herxheim;49°08'N;08°12'E;67,0Hz;W-x#C4;31.65km
DB0WIM;439,56250;431,96250;JN49CD;Herxheim;49°08'N;08°12'E;67,0Hz;;31.65km
DB0KBD;438,9125;431,3125;JN48FW;Palmbach;48°56'N;08°29'E;94,8Hz;;33.16km
DB0UKW;1298,225;1270,225;JN49HM;Weinheim;49°31'N;08°39'E;;;33.73km
DG7FBT;144,825;;JN49HN;Weinheim, Digital;49°32'N;08°38'E;;W-x#76582;34.92km
DB0ODE;438,825;431,225;JN49NH;Obrigheim;49°19'N;09°04'E;;;35.07km
DB0UP;145,575;144,975;JN48IV;Pforzheim;48°54'N;08°43'E;94,8Hz;;36.75km
DB0HRU;438,7625;431,1625;JN49JM;Abtsteinach;49°32'N;08°48'E;;;36.85km
DO0DAP;439,83750;430,43750;JN48GV;Keltern Weiler;48°53'N;08°32'E;94,8Hz;;37.54km
DB0GK;145,7875;145,1875;JN49MA;Sachsenheim/Hohe Reute;49°01'N;09°02'E;123,0Hz;;38.14km
DB0GK;439,425;431,825;JN49MA;Sachsenheim/Hohe Reute;49°01'N;09°02'E;;;38.14km
DB0SAQ;1298,275;1270,275;JN49MA;Cleebronn/Michaelsberg;49°01'N;09°02'E;;;38.14km
DB0NW;438,96250;431,36250;JN49BH;Neustadt / W.;49°19'N;08°06'E;;W-x#C4;38.46km
DB0NW;438,96250;431,36250;JN49BH;Neustadt / W.;49°19'N;08°06'E;;;38.46km
DB0HM;439,375;431,775;JN48IV;PFORZHEIM;48°52'N;08°43'E;;;39.78km
DB0XK;145,700;145,10000;JN49AH;Kalmit;49°19'N;08°04'E;;;40.58km
DB0WMB;438,4125;430,8125;JN49KN;Wald-Michelbach;49°34'N;08°50'E;88,5Hz;;41.01km
DB0RO;439,125;431,525;JN49AF;RINGELSBERG/FRANKWEILER;49°13'N;08°02'E;;;42.33km
DB0RO;1298,625;1270,625;JN49AF;RINGELSBERG/FRANKWEILER;49°13'N;08°02'E;;;42.33km
DB0HN;438,650;431,05;JN49OD;HEILBRONN;49°09'N;09°13'E;;;44.69km
DM0WO;439,200;431,600;JN49EP;Worms;49°38'N;08°20'E;;;50.62km
DB0DOB;438,9375;431,33750;JN49AM;Wattenheim;49°31'N;08°04'E;123,0Hz;W-x#C4;52.00km
DB0DOB;438,93750;431,33750;JN49AM;Wattenheim;49°31'N;08°04'E;123,0Hz;;52.00km
DB0WUS;438,4625;430,8625.;JN49PA;Grossbottwar Ludwigsburg GER, Digital;49°01'N;09°16'E;;W-x#78649;52.45km
DB0TFM;439,225;431,625;JN48ES;TEUFELSMUEHLE/MURGTAL;48°46'N;08°24'E;;;53.68km
DB0YY;145,7125;145,1125;JN48OV;LUDWIGSBURG;48°53'N;09°10'E;;;54.57km
DB0GGW;438,800;431,2;JN49HR;MELIBOKUS/DARMSTADT;49°43'N;08°36'E;;;54.78km
DB0VD;145,6625;145,0625;JN49HR;MELIBOKUS/DARMSTADT;49°43'N;08°36'E;;;54.78km
DB0YU;1266,350;1294,350;JN49HR;Melibokus;49°43'N;08°36'E;;;54.78km
DB0IOD;439,23750;431,63750;JN49IR;Lautertal;49°43'N;08°41'E;;W-x#C4;54.81km
DB0IOD;439,23750;431,63750;JN49IR;Lautertal;49°43'N;08°41'E;;;54.81km
DB0DOB;438,9375;431,3375.;JN49BO;Wattenheim, Digital;49°35'N;08°05'E;;W-x#18699;54.96km
DB0IO;438,975;431,375;JN49IR;Felsberg, Odenwald ;49°43'N;08°41'E;;;55.79km
DB0LBX;439,275;431,675;JN48OV;Ludwigsburg (gek. mit DB0LBY/DB0LBG);48°53'N;09°11'E;;;56.31km
DB0SWF;1298,450;1270,450;JN48DS;Baden-Baden/Merkur;48°46'N;08°17'E;;;56.44km
DB0HRW;439,2625;431,6625;JN49MP;Würzberg, Odenwald;49°39'N;09°04'E;88,5Hz;;57.42km
DB0LBY;438,7375;431,1375;JN49QC;Löwenstein (gek. mit DB0LBX/DB0LBG);49°05'N;09°24'E;;;58.80km
DB0WTL;145,6375;145,0375;JN49QC;Löwenstein Wasserturm;49°05'N;09°24'E;71,9Hz;;58.87km
DB0WTL;1298,700;1270,700;JN49QC;Löwenstein Wasserturm;49°05'N;09°24'E;;;58.87km
DB0WTL;29,690;29,590;JN49QC;Löwenstein (RX Nord 71,9 Hz,RX Süd 97,4 Hz);49°05'N;09°24'E;71,9Hz;;58.87km
F5ZCQ;145,725;145,1250;JN39WA;ROTT;49°01'N;07°52'E;;;59.25km
DB0BCH;439,000;431,40000;JN49M;Buchen;49°31'N;09°18'E;91,5Hz;;59.41km
DB0BCH;439,000;431,40000;JN49M;Buchen;49°31'N;09°18'E;;W-x#C4;59.42km
DB0STB;51,850;51,250;JN49QB;Stocksberg (nur am Wochenende qrv);49°04'N;09°24'E;;;59.59km
DB0STB;438,900;431,300;JN49QB;Stocksberg;49°04'N;09°24'E;;;59.59km
DB0STB;145,6125;145,0125;JN49QB;Stocksberg, Solarrelais Tx 1w;49°04'N;09°24'E;;;59.59km
DB0VB;145,775;145,175;JN49LR;BOELLSTEIN;49°43'N;08°56'E;88,5Hz;;60.36km
DB0VB;1298,500;1270,5;JN49LR;BOELLSTEIN;49°43'N;08°56'E;;;60.36km
DM0AI;438,61250;431,01250;JN48KQ;Aidlingen;48°41'N;08°53'E;;;62.28km
DB0OHR;439,0375;431,4375;JN49SE;Öhringen;49°11'N;09°30'E;88,5Hz;;63.81km
DB0RBB;439,3875;431,7875;JN48MQ;Boeblingen, gek. mit DB0HZG;48°41'N;09°00'E;;;66.30km
DB0ST;145,750;145,15;JN48NR;STUTTGART;48°44'N;09°09'E;;;66.47km
DB0ST;438,700;431,1;JN48NR;STUTTGART;48°44'N;09°09'E;;;66.47km
DB0ND;438,725;431,125;JN39XP;DONNERSBERG;49°37'N;07°56'E;;;66.54km
DB0KL;439,3875;431,7875;JN39VK;Kaiserslautern;49°25'N;07°45'E;;;66.63km
DB0OHR;439,03750;431,43750;JN49SE;Oehringen;49°11'N;09°32'E;88,5Hz;W-x#C4;66.71km
