Call;QRG;Input;Locator;Info;Breite;Länge;CTCSS;Mode/Node;Entfernung zu JN49hf
DB0WIM;439,56250;431,96250;JN49CD;Herxheim;49°08'N;08°12'E;67,0Hz;W-x#C4;31.65km
DB0WIM;439,56250;431,96250;JN49CD;Herxheim;49°08'N;08°12'E;67,0Hz;;31.65km
DB0KBD;438,9125;431,3125;JN48FW;Palmbach;48°56'N;08°29'E;94,8Hz;;33.16km
DB0UKW;1298,225;1270,225;JN49HM;Weinheim;49°31'N;08°39'E;;;33.73km
DG7FBT;144,825;;JN49HN;Weinheim, Digital;49°32'N;08°38'E;;W-x#76582;34.92km
DB0ODE;438,825;431,225;JN49NH;Obrigheim;49°19'N;09°04'E;;;35.07km
DB0UP;145,575;144,975;JN48IV;Pforzheim;48°54'N;08°43'E;94,8Hz;;36.75km
DB0HRU;438,7625;431,1625;JN49JM;Abtsteinach;49°32'N;08°48'E;;;36.85km
DO0DAP;439,83750;430,43750;JN48GV;Keltern Weiler;48°53'N;08°32'E;94,8Hz;;37.54km
DB0GK;145,7875;145,1875;JN49MA;Sachsenheim/Hohe Reute;49°01'N;09°02'E;123,0Hz;;38.14km
